Issue Materials Detail,Detail zu ausgestellten Materialien,
Issue photo,Foto ausstellen,
Item,Artikel,
Item Group,Artikelgruppe,
Job Card,Auftragskarte,
Key,Schlüssel,
Key Number,Schlüsselnummer,
Key Set,Schließsystem,
Key Set Detail,Schließsystem Detail,
Key sets in custody.,Schließsystem in Verwahrung.,
Keyboard Shortcuts,Tastenkombinationen,
Late payment interest percentage,Prozentsatz der Verzugszinsen,
Lease,Mietvertrag,
Lease Basic info,Basisinformationen Mietvertrag,
Lease Customer,Mieter,
Lease Date,Datum Mietvertrag,
Lease Dates,Mietdaten,
Lease Details,Mietdetails,
Lease End,Mietende,
Lease Information,Informationen Mietvertrag,
Lease Invoice Schedule,Zeitplan Mietrechnungen,
Lease Item,Mietgegenstand,
Lease Item Name,Name des Mietgegenstands,
Lease Item Table,Tabelle der Mietgegenstände,
Lease No.,Mietvertragsnr.,
Lease Parties,Mietparteien,
Lease Report,Bericht Mietvertrag,
Lease Start,Mietbeginn,
Lease Status,Status Mietvertrag,
Lease pertaining to the properties.,Mietvertrag in Bezug auf die Immobilien.,
Left,links,
"LocalStorage is full , did not save",Lokaler Speicher ist voll nicht gespeichert Lokaler Speicher ist voll nicht gespeichert,
"LocalStorage is full, did not save",Lokaler Speicher ist voll nicht gespeichert Lokaler Speicher ist voll nicht gespeichert,
Location Name,Standortname,
Location No.,Standortnr.,
Lock Type,Schlosstyp,
Log of Scheduler Errors,Protokoll der Schedulerfehler,
Log out,abmelden,
Lost,verloren,
MORE INFORMATION,mehr Informationen,
Maintenable,Wartbar,
Maintenance,Wartung,
Maintenance Item Group,Wartungsartikelgruppe,
Maintenance Job in-charge,Verantwortlicher für Wartungsarbeiten,
Maintenance Manager,Wartungsmanager,
Make Invoice Schedule,Zahlungsplan erstellen,
Make Invoice Schedule for all Lease,Rechnungsplan für alle Mietverträge erstellen,
Managed for Customer,für Kunden verwaltet,
Managed for customer,für Kunden verwaltet,
Master bedroom,Hauptschlafzimmer,
"Master data syncing, it might take some time",Stammdatenabgleich dies kann einige Zeit dauern,
Mateiral Request,Materialanforderung,
Material Request,Materialanforderung,
Materials Billed,Materialien in Rechnung gestellt,
Materials Required,erforderliche Materialien,
Message,Nachricht,
Meter,Zähler,
Meter Does Not Exist For This Type,Zähler existiert nicht für diesen Typ,
Meter Number,Zählernummer,
Meter Reading,Zählerstand,
Meter Reading Detail,Zählerstand Detail,
Meter Type,Zählertyp,
Meter database,Zählerdatenbank,
Monthly,monatlich,
MultiSelect Item Group,Mehrfachauswahl Artikelgruppe,
My Profile,Mein Profil,
My Settings,Meine Einstellungen,
Name,Name,
New,Neu,
New Cart,Neuer Warenkorb,
New Sales Invoice,Neue Verkaufsrechnung,
Night,Nacht,
No of parking,Anzahl der Parkplätze,
No. of Days,Anzahl der Tage,
No. of Keys,Anzahl der Schlüssel,
No. of Tool Items,Anzahl der Werkzeugelemente,
North,Norden,
North-East,Nordosten,
North-West,Nordwesten,
Not Materialized,Nicht materialisiert,
Not items found,Keine Artikel gefunden,
Not required,Nicht erforderlich,
Notice Period,Kündigungsfrist,
Off Lease in 3 Months,in 3 Monaten aus dem Mietvertrag,
Off-street Parking,Parken abseits der Straße,
Offline,Offline,
Old Parent,Alter Elternteil,
On Lease,Zur Miete,
On Sale,Zum Verkauf,
On behalf of lessee by Landlord,im Namen des Mieters durch den Vermieter,
Online,online,
Other lease details,Weitere Mietdetails,
Other remarks,Weitere Bemerkungen,
Others,Andere,
Out,aus,
Outsource Contact,Kontakt auslagern,
Outsourcing Attendance,Outsourcing der Anwesenheit,
Outsourcing Attendance Details,Details zum Outsourcing der Anwesenheit,
Outsourcing Category,Outsourcingkategorie,
Outsourcing Category Name,Name der Outsourcingkategorie,
Outsourcing Category definition.,Definition der Outsourcingkategorie.,
Outsourcing Shift,Outsourcingschicht,
Outsourcing Shift Location,Standort der Outsourcingschicht,
Owner Type,Eigentümertyp,
POS Customer,POS-Kunde,
POS Profile,POS-Profil,
POSITION,POSITION,
PRESENT,ANWESEND,
Paid By,bezahlt von,
Paint,Farbe,
Parent property,übergeordnete Immobilie,
Pay,bezahlen,
"Payment Mode is not configured. Please check, whether account has been set on Mode of Payments or on POS Profile.",Zahlungsmodus ist nicht konfiguriert. Bitte überprüfen Sie ob das Konto auf Zahlungsmodus oder POS-Profil eingestellt ist.,
Pending Signed Agreement,unterzeichneter Vertrag steht noch aus,
Percentage of Witholding tax applicable to this item,Prozentsatz der Quellensteuer  die auf diesen Artikel anwendbar ist,
Person In Charge Name,Name des Verantwortlichen,
Person Name,Personenname,
Person in charge,Verantwortliche Person,
Photo,Foto,
Playground,Spielplatz,
Please Setup Default Maintenance Tax Template in <a href='{0}'>{1}</a>,Bitte richten Sie die Standard-Wartungssteuervorlage in {1} ein,
Please select Apply Discount On,Bitte wählen Sie Rabatt anwenden auf,
Please select a Customer in Lease {0},Bitte wählen Sie einen Kunden im Mietvertrag {0},
Please select customer,Bitte wählen Sie einen Kunden aus,
Point of Sale,Verkaufsstelle,
Policy Number,Policennummer,
Position,Position,
Pre-mature,vorzeitig,
Premature expiry date,vorzeitiges Vertragsende,
Premium Price,Premiumpreis,
Present,anwesend,
Previous Meter Reading,Vorherige Zählerablesung,
Previous Reading Date,Vorheriges Ablesedatum,
Price List not found or disabled,Preisliste deaktiviert oder nicht gefunden,
Print,Drucken,
Proforma Invoice raised,Proforma-Rechnung erstellt,
Property,Immobilie,
Property Amenity,Immobilienausstattung,
Property Amenity definition.,Definition der Immobilienausstattung.,
Property Analytics,Immobilienanalyse,
Property Documents,Immobiliendokumente,
Property Management,Immobilienverwaltung,
Property Management Settings,Einstellungen der Immobilienverwaltung,
Property Management Solution,Immobilienverwaltungssystem,
Property Manager,Immobilienverwalter,
Property Masters,Immobiliendaten,
Property Meter Reading,Zählerablesung der Immobilie,
Property Meters,Zähler der Immobilie,
Property Name,Immobilienname,
Property Number,Immobiliennummer,
Property Owner,Eigentümer der Immobilie,
Property Settings,Immobilieneinstellungen,
Property Status,Immobilienstatus,
Property Type,Immobilientyp,
Property Unit,Mieteinheit,
Property User,Immobiliennutzer,
Property database.,Immobiliendatenbank.,
Property that needs to be managed.,Zu verwaltende Immobilie.,
Qty,Menge,
Quantity,Menge,
Quarterly,vierteljährlich,
REMARKS,BEMERKUNGEN,
Rate,Rate,
Rate ,Preis,
Reading Date,Ablesedatum,
Reading Difference,Ablesedifferenz,
Reading required,Ablesung erforderlich,
Reason for key taken,Grund für die Schlüsselentnahme,
Reason for tool item taken,Grund für die Werkzeugentnahme,
Received,erhalten,
Received and WIP,erhalten und in Arbeit,
Received in part,teilweise erhalten,
Receiving in process,Empfang in Bearbeitung,
Recovered for rent,zur Vermietung wiederhergestellt,
Recovered for repairs,für Reparaturen wiederhergestellt,
Register all meters here.,Alle Zähler hier registrieren.,
Reload,Neu laden,
Remarks,Bemerkungen,
Remarks ( If absent ),Bemerkungen (wenn abwesend),
Removed,entfernt,
Renewal,Renovierung,
Renewal to Previous Lease,Renovierung zum vorherigen Mietvertrag,
Rent,Miete,
Rent Amount,Mietbetrag,
Rent Currency,Mietwährung,
Rent Frequency,Häufigkeit Mietzahlung,
Rental,Vermietung,
Report an Issue,ein Problem melden,
Requested,angefordert,
Return Date and Time,Rückgabe datum und -uhrzeit,
Return in part,teilweise zurückgeben,
Returned,zurückgegeben,
Right,rechts,
Rooftop patio,Dachterrasse,
S1,S1,
S2,S2,
S3,S3,
Sale,Verkauf,
Sales Invoice,Ausgangsrechnung,
Sales Order,Verkaufsauftrag,
Sales Order Number,Verkaufsauftragsnummer,
Sales invoice ${r.doc.name} created succesfully,Ausgangsrechnung ${r.doc.name} erfolgreich erstellt,
Save,speichern,
Schedule Start Date,Startdatum des Zeitplans,
Screen Door attached,Bildschirmtür angebracht,
Search Item,Artikel suchen,
Security,Sicherheit,
Security Account Code,Sicherheitskontocode,
Security Amount,Sicherheitsbetrag,
Security Attendance,Sicherheitsanwesenheit,
Security Attendance Details,Details zur Sicherheitsanwesenheit,
Security Attendance Report,Bericht zur Sicherheitsanwesenheit,
Security Deposit,Kaution,
Security Deposit Amount,Kautionsbetrag,
Security Deposit Currency,Kautionwährung,
Security Deposit Details,Details zur Kaution,
Security Deposit Details definition.,Definition der Kautionsdetails.,
Security Deposit Item,Kautionsgegenstand,
Security Deposit Payment Type,Zahlungsart der Kaution,
Security Status,Sicherheitsstatus,
Security deposit,Kaution,
Seen,gesehen,
Select Batch No,Chargennummer auswählen,
Select items to save the invoice,Artikel auswählen um die Rechnung zu speichern,
Select or add new customer,neuen Kunden auswählen oder hinzufügen,
Self Consumption,Eigenverbrauch,
Self Consumption Customer,Eigenverbrauchskunde,
Send,Senden,
Serial no item cannot be a fraction,Seriennummer muss ganze Zahl sein,
Service Charge Amount,Servicegebühr Betrag,
Service Charge Currency,Servicegebühr Währung,
Service Charge Frequency,Servicegebühr Häufigkeit,
Service Type,Servicetyp,
Session Defaults,Sitzungsstandards,
Set Name,Name festlegen,
Shelf No.,Regalnr.,
Shif for security guards.,Schicht für Sicherheitskräfte.,
Shift,Schicht,
Shift Date,Schichtdatum,
Shift Location,Schichtstandort,
Shift Name,Schichtname,
Signed agreement received,Unterzeichnete Vereinbarung erhalten,
Smoking,rauchen,
Sold,verkauft,
South,Süden,
South-East,Südosten,
South-West,Südwesten,
Spik n Span,blitzsauber,
Staff,Mitarbeiter,
Staff Type,Mitarbeitertyp,
Stamp Duty Paid by Tenant,Stempelsteuer vom Mieter bezahlt,
Stamp Duty Status,Stempelsteuerstatus,
Stamp duty paid by tenant,Stempelsteuer vom Mieter bezahlt,
Start Date,Startdatum,
State,Bundesland,
Status,Status,
Status Active,Status aktiv,
Status active,Status aktiv,
Stock Qty,Lagerbestand Menge,
Storage,Lagerung,
Sub Contractor,Subunternehmer,
Sub Contractor Name,Name des Subunternehmers,
Subject,Betreff,
Submit Maintenance Invoice,Wartungsrechnung einreichen,
Submitted orders can not be deleted,eingereichte Bestellungen können nicht gelöscht werden,
Sync Master Data,Stammdaten synchronisieren,
Sync Offline Invoices,Offline-Rechnungen synchronisieren,
System Manager,Systemmanager,
TOTAL,GESAMT,
Taken by,genommen von,
Task,Aufgabe,
Task Name,Aufgabenname,
Tax,Steuer,
Tennis court,Tennisplatz,
Termination,Beendigung,
Testing,testen,
The materials required has items and so the job card cannot be closed. Please confirm billing status fo the materials required.,Die erforderlichen Materialien haben Artikel   sodass die Auftragskarte nicht geschlossen werden kann. Bitte besttigen Sie den Abrechnungsstatus der erforderlichen Materialien.,
This is to show status of every lease by type of property,Zeigt den Status jedes Mietvertrags je Immobilientyp,
Title,Titel,
Title deed number,Grundbuchnummer,
To,an,
To Date,bis Datum,
To Month,bis Monat,
Toggle Full Width,volle Breite umschalten,
Toggle Theme,Thema umschalten,
Tool Item,Werkzeugartikel,
Tool Item Number,Werkzeugartikelnummer,
Tool Item Record,Werkzeugartikelaufzeichnung,
Tool Item Set,Werkzeugartikelset,
Tool Item Sets in custody.,Werkzeugartikelsets in Verwahrung.,
Total,Gesamt,
Type,Typ,
UNIT CHARACTERISTICS,Eigenschaften der Mieteinheit,
UNIT DETAILS,Detals der Mieteinheit,
UOM,Einheit,
Unit Assets,Anlagen der Mieteinheit,
Unit Number,Nummer der Mieteinheit,
Unit Owner,Eigentümer der Mieteinheit,
Unit Type,Typ der Mieteinheit,
Unit Type definition.,Definition des Mieteinheitstyps,
User Forum,Benutzerforum,
Vacating,Räumung,
View Website,Website anzeigen,
Viva Security,Viva Sicherheit,
Viva Staff,Viva Mitarbeiter,
WTax paid by,Quellensteuer bezahlt von,
West,Westen,
Wheelchair access,Rollstuhlgerecht,
Withholding Tax Summary,Zusammenfassung der Quellensteuer,
Witholding Tax,Quellensteuer,
Witness 1,Zeuge 1,
Witness 2,Zeuge 2,
Work Done,Arbeit erledigt,
Year,Jahr,
You are in offline mode. You will not be able to reload until you have network.,Sie sind im Offline-Modus. Sie können erst mit Netzwerk neu laden.,
ZIP Code,Postleitzahl,
naming_series,Nummernsystem,
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},{0} ist obligatorisch. Vielleicht wurde kein Währungsumtausch datensatz für {1} zu {2} erstellt,
